time,athlete,where,month,day,year
10.06,Bob Hayes,"Tokyo, Japan",October,15,1964
10.03,Jim Hines,"Sacramento, USA",June,20,1968
10.02,Charles Greene,"Mexico City, Mexico",October,13,1968
9.95,Jim Hines,"Mexico City, Mexico",October,14,1968
9.93,Calvin Smith,"Colorado Springs, USA",July,3,1983
9.93,Carl Lewis,"Rome, Italy",August,30,1987
9.92,Carl Lewis,"Seoul, South Korea",September,24,1988
9.90,Leroy Burrell,"New York, USA",June,14,1991
9.86,Carl Lewis,"Tokyo, Japan",August,25,1991
9.85,Leroy Burrell,"Lausanne, Switzerland",July,6,1994
9.84,Donovan Bailey,"Atlanta, USA",July,27,1996
9.79,Maurice Greene,"Athens, Greece",June,16,1999
9.77,Asafa Powell,"Athens, Greece",June,14,2005
9.74,Asafa Powell,"Rieti, Italy",September,9,2007
9.72,Usain Bolt,"New York, USA",May,31,2008
9.69,Usain Bolt,"Beijing, China",August,16,2008
9.58,Usain Bolt,"Berlin, Germany",August,16,2009
